area_of_activity,country,end_day,end_month,end_year,eruption_category,eruption_number,evidence_category,evidence_method_dating,last_eruption_year,major_rock_1,major_rock_2,major_rock_3,major_rock_4,major_rock_5,minor_rock_1,minor_rock_2,minor_rock_3,minor_rock_4,minor_rock_5,Pop. Density (per sq. mi.),primary_volcano_type,Region,region,start_day,start_month,start_year,subregion,tectonic_settings,vei,volcano_name,volcano_name (eruptions.csv),volcano_number,volcano_number (eruptions.csv),Area_sq_miles,elevation,latitude,longitude,Population,population_within_100_km,population_within_10_km,population_within_30_km,population_within_5_km
NA,Indonesia,2,4,2020,Confirmed Eruption,22354,Eruption Observed,Historical Observations,2020,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , , , , , , ,"127,9",Stratovolcano,ASIA (EX. NEAR EAST),Indonesia,23,3,2020,Sulawesi,Subduction zone / Continental crust (>25 km),NA,Soputan,Soputan,266030,266030,1919440,1785,1.112,124.737,245452739,1696768,69991,501336,4724
NA,France,6,4,2020,Confirmed Eruption,22343,Eruption Observed,Historical Observations,2020,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite, , , , , , , , ,"111,3",Shield,WESTERN EUROPE,Middle East and Indian Ocean,10,2,2020,Indian Ocean (western),Intraplate / Oceanic crust (< 15 km),NA,"Fournaise, Piton de la","Fournaise, Piton de la",233020,233020,547030,2632,-21.244,55.708,60876136,717820,55859,246792,55859
NA,Costa Rica,17,4,2020,Confirmed Eruption,22346,Eruption Observed,Historical Observations,2020,Andesite / Basaltic Andesite,Rhyolite,Dacite, , , , , , , ,"79,8",Complex,LATIN AMER. & CARIB,México and Central America,31,1,2020,Costa Rica,Subduction zone / Continental crust (>25 km),NA,Rincon de la Vieja,Rincon de la Vieja,345020,345020,51100,1916,10.83,-85.324,4075261,659105,1428,78668,271
NA,Philippines,22,1,2020,Confirmed Eruption,22344,Eruption Observed,Historical Observations,2020,Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Dacite, , ,Rhyolite, , , , ,"298,2",Caldera,ASIA (EX. NEAR EAST),Philippines and SE Asia,12,1,2020,Luzon,Subduction zone / Continental crust (>25 km),NA,Taal,Taal,273070,273070,300000,311,14.002,120.993,89468677,24814047,717090,2380326,717090
NA,Japan,17,4,2020,Confirmed Eruption,22345,Eruption Observed,Historical Observations,2020,Andesite / Basaltic Andesite, , , , ,Basalt / Picro-Basalt, , , , ,"337,4",Stratovolcano,ASIA (EX. NEAR EAST),"Japan, Taiwan, Marianas",11,1,2020,Ryukyu Islands and Kyushu,Subduction zone / Oceanic crust (< 15 km),NA,Kuchinoerabujima,Kuchinoerabujima,282050,282050,377835,657,30.443,130.217,127463611,149518,1698,5348,1544
1978/90 Crater Complex,New Zealand,9,12,2019,Confirmed Eruption,22338,Eruption Observed,Historical Observations,2019,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,"15,2",Stratovolcano,OCEANIA,New Zealand to Fiji,9,12,2019,New Zealand,Subduction zone / Continental crust (>25 km),2,Whakaari/White Island,Whakaari/White Island,241040,241040,268680,294,-37.52,177.18,4076140,190290,5,5,5
NA,United States of America,15,3,2020,Confirmed Eruption,22341,Eruption Observed,Historical Observations,2020,Basalt / Picro-Basalt,Andesite / Basaltic Andesite,Dacite,Trachyandesite / Basaltic Trachyandesite, , , , , , ,"31,0",Stratovolcano,NORTHERN AMERICA,Alaska,7,12,2019,Aleutian Islands,Subduction zone / Intermediate crust (15-25 km),NA,Semisopochnoi,Semisopochnoi,311060,311060,9631420,1221,51.93,179.58,298444215,0,0,0,0
NA,Japan,16,4,2020,Confirmed Eruption,22339,Eruption Observed,Historical Observations,2020,Rhyolite,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , , ,"337,4",Caldera,ASIA (EX. NEAR EAST),"Japan, Taiwan, Marianas",2,11,2019,Ryukyu Islands and Kyushu,Subduction zone / Oceanic crust (< 15 km),NA,Kikai,Kikai,282060,282060,377835,704,30.793,130.305,127463611,1002905,152,152,152
NA,Russia,17,4,2020,Confirmed Eruption,22335,Eruption Observed,Historical Observations,2020,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , , , ,"8,4",Stratovolcano,C.W. OF IND. STATES,Kamchatka and Mainland Asia,24,10,2019,Kamchatka Peninsula,Subduction zone / Continental crust (>25 km),NA,Klyuchevskoy,Klyuchevskoy,300260,300260,17075200,4754,56.056,160.642,142893540,12406,0,292,0
NA,Japan,25,8,2019,Confirmed Eruption,22326,Eruption Observed,Historical Observations,2019,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,"337,4",Complex,ASIA (EX. NEAR EAST),"Japan, Taiwan, Marianas",7,8,2019,Honshu,Subduction zone / Continental crust (>25 km),NA,Asamayama,Asamayama,283110,283110,377835,2568,36.406,138.523,127463611,7629353,22371,457576,583
NA,Indonesia,17,9,2019,Confirmed Eruption,22325,Eruption Observed,Historical Observations,2019,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , , , , , , ,"127,9",Stratovolcano,ASIA (EX. NEAR EAST),Indonesia,26,7,2019,Java,Subduction zone / Continental crust (>25 km),NA,Tangkuban Parahu,Tangkuban Parahu,263090,263090,1919440,2084,-6.77,107.6,245452739,32855731,518822,5729309,100608
Summit crater,United States of America,9,4,2020,Confirmed Eruption,22330,Eruption Observed,Historical Observations,2020,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , ,Dacite,Trachyte / Trachydacite,Rhyolite, , ,"31,0",Stratovolcano,NORTHERN AMERICA,Alaska,23,7,2019,Aleutian Islands,Subduction zone / Continental crust (>25 km),NA,Shishaldin,Shishaldin,311360,311360,9631420,2857,54.756,-163.97,298444215,197,0,10,0
NA,Colombia,13,4,2020,Confirmed Eruption,22329,Eruption Observed,Historical Observations,2020,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,"38,3",Stratovolcano,LATIN AMER. & CARIB,South America,23,7,2019,Colombia,Subduction zone / Continental crust (>25 km),NA,"Ruiz, Nevado del","Ruiz, Nevado del",351020,351020,1138910,5279,4.892,-75.324,43593035,4252435,20146,507608,3849
NA,United States of America,24,8,2019,Confirmed Eruption,22328,Eruption Observed,Historical Observations,2020,Basalt / Picro-Basalt,Andesite / Basaltic Andesite,Dacite,Trachyandesite / Basaltic Trachyandesite, , , , , , ,"31,0",Stratovolcano,NORTHERN AMERICA,Alaska,16,7,2019,Aleutian Islands,Subduction zone / Intermediate crust (15-25 km),NA,Semisopochnoi,Semisopochnoi,311060,311060,9631420,1221,51.93,179.58,298444215,0,0,0,0
NA,France,27,10,2019,Confirmed Eruption,22318,Eruption Observed,Historical Observations,2020,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite, , , , , , , , ,"111,3",Shield,WESTERN EUROPE,Middle East and Indian Ocean,11,6,2019,Indian Ocean (western),Intraplate / Oceanic crust (< 15 km),NA,"Fournaise, Piton de la","Fournaise, Piton de la",233020,233020,547030,2632,-21.244,55.708,60876136,717820,55859,246792,55859
NA,Russia,7,10,2019,Confirmed Eruption,22320,Eruption Observed,Historical Observations,2019,Andesite / Basaltic Andesite, , , , , , , , , ,"8,4",Stratovolcano,C.W. OF IND. STATES,Kuril Islands,16,5,2019,Kuril Islands,Subduction zone / Intermediate crust (15-25 km),2,Sarychev Peak,Sarychev Peak,290240,290240,17075200,1496,48.092,153.2,142893540,148,143,143,17
NA,Mexico,12,7,2019,Confirmed Eruption,22323,Eruption Observed,Historical Observations,2019,Andesite / Basaltic Andesite, , , , ,Dacite,Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite,Basalt / Picro-Basalt, ,"54,5",Stratovolcano,LATIN AMER. & CARIB,México and Central America,11,5,2019,Mexico,Subduction zone / Continental crust (>25 km),NA,Colima,Colima,341040,341040,1972550,3850,19.514,-103.62,107449525,1494790,746,303490,76
NA,Japan,17,4,2020,Confirmed Eruption,22317,Eruption Observed,Historical Observations,2020,Andesite / Basaltic Andesite,Dacite,Rhyolite,Basalt / Picro-Basalt, , , , , , ,"337,4",Caldera,ASIA (EX. NEAR EAST),"Japan, Taiwan, Marianas",16,4,2019,Ryukyu Islands and Kyushu,Subduction zone / Continental crust (>25 km),NA,Asosan,Asosan,282110,282110,377835,1592,32.884,131.104,127463611,6507519,75559,234591,75559
NA,Russia,2,7,2019,Confirmed Eruption,22310,Eruption Observed,Historical Observations,2020,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , , , ,"8,4",Stratovolcano,C.W. OF IND. STATES,Kamchatka and Mainland Asia,9,4,2019,Kamchatka Peninsula,Subduction zone / Continental crust (>25 km),NA,Klyuchevskoy,Klyuchevskoy,300260,300260,17075200,4754,56.056,160.642,142893540,12406,0,292,0
NA,Ecuador,17,4,2020,Confirmed Eruption,22312,Eruption Observed,Historical Observations,2020,Andesite / Basaltic Andesite, , , , ,Dacite,Basalt / Picro-Basalt, , , ,"47,8",Stratovolcano,LATIN AMER. & CARIB,South America,26,3,2019,Ecuador,Subduction zone / Continental crust (>25 km),NA,Sangay,Sangay,352090,352090,283560,5286,-2.005,-78.341,13547510,1355275,1675,15130,231
NA,Nicaragua,4,3,2019,Confirmed Eruption,22311,Eruption Observed,Historical Observations,2019,Basalt / Picro-Basalt,Andesite / Basaltic Andesite,Dacite, , , , , , , ,"43,0",Stratovolcano,LATIN AMER. & CARIB,México and Central America,4,3,2019,Nicaragua,Subduction zone / Continental crust (>25 km),NA,San Cristobal,San Cristobal,344020,344020,129494,1745,12.702,-87.004,5570129,2002579,7876,351227,208
NA,France,10,3,2019,Confirmed Eruption,22307,Eruption Observed,Historical Observations,2020,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite, , , , , , , , ,"111,3",Shield,WESTERN EUROPE,Middle East and Indian Ocean,18,2,2019,Indian Ocean (western),Intraplate / Oceanic crust (< 15 km),NA,"Fournaise, Piton de la","Fournaise, Piton de la",233020,233020,547030,2632,-21.244,55.708,60876136,717820,55859,246792,55859
