country,country (volcano.csv),evidence_category,last_eruption_year,major_rock_1,major_rock_2,major_rock_3,major_rock_4,major_rock_5,minor_rock_1,minor_rock_2,minor_rock_3,minor_rock_4,minor_rock_5,Pop. Density (per sq. mi.),primary_volcano_type,Region,region,subregion,tectonic_settings,volcano_name,volcano_number,Area (sq. mi.),elevation,latitude,longitude,Population,population_within_100_km,population_within_10_km,population_within_30_km,population_within_5_km
Japan,Japan,Eruption Dated,-6850,Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Dacite, , , , , , , ,"337,4",Shield,ASIA (EX. NEAR EAST),"Japan, Taiwan, Marianas",Honshu,Subduction zone / Continental crust (>25 km),Abu,283001,377835,641,34.5,131.6,127463611,4071152,9594,117805,3597
Chile,Chile,Evidence Credible,Unknown,Dacite,Andesite / Basaltic Andesite, , , , , , , , ,"21,3",Stratovolcano,LATIN AMER. & CARIB,South America,"Northern Chile, Bolivia and Argentina",Subduction zone / Continental crust (>25 km),Acamarachi,355096,756950,6023,-23.292,-67.618,16134219,9092,7,294,0
Guatemala,Guatemala,Eruption Observed,1972,Andesite / Basaltic Andesite,Dacite, , , ,Basalt / Picro-Basalt, , , , ,"112,9",Stratovolcano,LATIN AMER. & CARIB,México and Central America,Guatemala,Subduction zone / Continental crust (>25 km),Acatenango,342080,108890,3976,14.501,-90.876,12293545,7634778,60730,1042836,4329
Turkey,Turkey,Eruption Dated,-2080,Rhyolite,Dacite,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , ,"90,2",Caldera,NEAR EAST,Mediterranean and Western Asia,Turkey,Intraplate / Continental crust (>25 km),Acigol-Nevsehir,213004,780580,1683,38.537,34.621,70413958,2253483,127863,218469,127863
United States,United States,Eruption Dated,950,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , ,Dacite, , , , ,"31,0",Stratovolcano,NORTHERN AMERICA,Canada and Western USA,USA (Washington),Subduction zone / Continental crust (>25 km),Adams,321040,9631420,3742,46.206,-121.49,298444215,393303,70,4019,0
Japan,Japan,Eruption Observed,1996,Andesite / Basaltic Andesite, , , , ,Dacite,Basalt / Picro-Basalt, , , ,"337,4",Stratovolcano,ASIA (EX. NEAR EAST),"Japan, Taiwan, Marianas",Honshu,Subduction zone / Continental crust (>25 km),Adatarayama,283170,377835,1728,37.647,140.281,127463611,5024654,3936,717078,428
Ethiopia,Ethiopia,Evidence Credible,Unknown,Rhyolite,Basalt / Picro-Basalt,Trachyte / Trachydacite, , , , , , , ,"66,3",Stratovolcano,SUB-SAHARAN AFRICA,Africa and Red Sea,Africa (northeastern) and Red Sea,Rift zone / Intermediate crust (15-25 km),Adwa,221170,1127127,1733,10.07,40.84,74777981,1242922,485,18645,101
Ethiopia,Ethiopia,Evidence Uncertain,Unknown,Rhyolite, , , , ,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite,Andesite / Basaltic Andesite, , ,"66,3",Stratovolcano,SUB-SAHARAN AFRICA,Africa and Red Sea,Africa (northeastern) and Red Sea,Rift zone / Intermediate crust (15-25 km),Afdera,221110,1127127,1250,13.088,40.853,74777981,161009,6042,8611,51
United States,United States,Eruption Observed,1917,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , , , ,"31,0",Stratovolcano,NORTHERN AMERICA,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",Subduction zone / Crustal thickness unknown,Agrigan,284160,9631420,965,18.77,145.67,298444215,0,0,0,0
Guatemala,Guatemala,Evidence Credible,Unknown,Andesite / Basaltic Andesite, , , , ,Dacite, , , , ,"112,9",Stratovolcano,LATIN AMER. & CARIB,México and Central America,Guatemala,Subduction zone / Continental crust (>25 km),Agua,342100,108890,3760,14.465,-90.743,12293545,7441660,114404,2530449,9890
Portugal,Portugal,Eruption Observed,1564,Trachyte / Trachydacite,Trachybasalt / Tephrite Basanite,Basalt / Picro-Basalt,Trachyandesite / Basaltic Trachyandesite, , , , , , ,"114,8",Stratovolcano,WESTERN EUROPE,Atlantic Ocean,Azores,Rift zone / Oceanic crust (< 15 km),Agua de Pau,382090,92391,947,37.77,-25.47,10605870,119653,17272,113131,406
Chile,Chile,Eruption Dated,-1250,Dacite, , , , , , , , , ,"21,3",Stratovolcano,LATIN AMER. & CARIB,South America,Southern Chile and Argentina,Subduction zone / Continental crust (>25 km),Aguilera,358062,756950,2546,-50.33,-73.75,16134219,5698,0,103,0
Indonesia,Indonesia,Eruption Observed,2019,Andesite / Basaltic Andesite, , , , , , , , , ,"127,9",Stratovolcano,ASIA (EX. NEAR EAST),Indonesia,Lesser Sunda Islands,Subduction zone / Continental crust (>25 km),Agung,264020,1919440,2997,-8.343,115.508,245452739,4550176,76781,968381,5657
United States,United States,Eruption Dated,2014,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , , , , , , ,"31,0",Others,NORTHERN AMERICA,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",Subduction zone / Crustal thickness unknown,Ahyi,284141,9631420,-75,20.42,145.03,298444215,0,0,0,0
Japan,Japan,Eruption Observed,2020,Andesite / Basaltic Andesite,Dacite,Rhyolite, , , , , , , ,"337,4",Caldera,ASIA (EX. NEAR EAST),"Japan, Taiwan, Marianas",Ryukyu Islands and Kyushu,Subduction zone / Continental crust (>25 km),Aira,282080,377835,1117,31.593,130.657,127463611,2610033,113874,905254,4918
Russia,Russia,Eruption Observed,1996,Andesite / Basaltic Andesite,Dacite, , , ,Basalt / Picro-Basalt,Rhyolite, , , ,"8,4",Stratovolcano,C.W. OF IND. STATES,Kamchatka and Mainland Asia,Kamchatka Peninsula,Subduction zone / Continental crust (>25 km),Akademia Nauk,300125,17075200,1180,53.98,159.45,142893540,12484,3,615,3
Japan,Japan,Evidence Uncertain,Unknown,Andesite / Basaltic Andesite, , , , ,Dacite, , , , ,"337,4",Stratovolcano,ASIA (EX. NEAR EAST),"Japan, Taiwan, Marianas",Honshu,Subduction zone / Continental crust (>25 km),Akagisan,283130,377835,1828,36.56,139.193,127463611,16718375,4538,1116366,961
Japan,Japan,Eruption Observed,2008,Andesite / Basaltic Andesite,Dacite,Basalt / Picro-Basalt,Rhyolite, , , , , , ,"337,4",Caldera,ASIA (EX. NEAR EAST),"Japan, Taiwan, Marianas",Hokkaido,Subduction zone / Continental crust (>25 km),Akan,285070,377835,1499,43.384,144.013,127463611,929538,2062,9756,2062
Japan,Japan,Eruption Observed,1971,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , , , ,"337,4",Stratovolcano,ASIA (EX. NEAR EAST),"Japan, Taiwan, Marianas",Honshu,Subduction zone / Continental crust (>25 km),Akita-Komagatake,283230,377835,1637,39.761,140.799,127463611,2521611,3864,216708,376
Japan,Japan,Eruption Observed,1997,Andesite / Basaltic Andesite, , , , ,Dacite, , , , ,"337,4",Stratovolcano,ASIA (EX. NEAR EAST),"Japan, Taiwan, Marianas",Honshu,Subduction zone / Continental crust (>25 km),Akita-Yakeyama,283260,377835,1366,39.964,140.757,127463611,3122037,721,55493,127
Japan,Japan,Evidence Uncertain,Unknown,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,"337,4",Stratovolcano,ASIA (EX. NEAR EAST),"Japan, Taiwan, Marianas",Ryukyu Islands and Kyushu,Subduction zone / Oceanic crust (< 15 km),Akusekijima,282022,377835,555,29.465,129.594,127463611,749,52,199,52
United States,United States,Eruption Observed,1992,Basalt / Picro-Basalt,Andesite / Basaltic Andesite,Trachyandesite / Basaltic Trachyandesite, , ,Trachyte / Trachydacite,Dacite, , , ,"31,0",Stratovolcano,NORTHERN AMERICA,Alaska,Aleutian Islands,Subduction zone / Intermediate crust (15-25 km),Akutan,311320,9631420,1303,54.134,-165.986,298444215,4361,24,233,0
Russia,Russia,Eruption Observed,2018,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , , , ,"8,4",Stratovolcano,C.W. OF IND. STATES,Kuril Islands,Kuril Islands,Subduction zone / Continental crust (>25 km),Alaid,290390,17075200,2285,50.861,155.565,142893540,2887,64,64,0
Ethiopia,Ethiopia,Eruption Observed,1915,Basalt / Picro-Basalt,Trachyte / Trachydacite,Trachyandesite / Basaltic Trachyandesite, , , , , , , ,"66,3",Shield,SUB-SAHARAN AFRICA,Africa and Red Sea,Africa (northeastern) and Red Sea,Rift zone / Intermediate crust (15-25 km),Alayta,221112,1127127,1496,12.888,40.573,74777981,330411,925,13459,156
Ecuador,Ecuador,Eruption Observed,1993,Basalt / Picro-Basalt, , , , ,Rhyolite,Dacite,Andesite / Basaltic Andesite, , ,"47,8",Shield,LATIN AMER. & CARIB,South America,Galapagos Islands,Rift zone / Oceanic crust (< 15 km),Alcedo,353040,283560,1130,-0.43,-91.12,13547510,10756,290,388,290
Ethiopia,Ethiopia,Evidence Credible,Unknown,Basalt / Picro-Basalt,Trachyte / Trachydacite,Rhyolite, , , , , , , ,"66,3",Stratovolcano,SUB-SAHARAN AFRICA,Africa and Red Sea,Africa (northeastern) and Red Sea,Rift zone / Intermediate crust (15-25 km),Ale Bagu,221090,1127127,988,13.512,40.631,74777981,278270,919,8424,2
Eritrea,Eritrea,Evidence Credible,Unknown,Rhyolite,Basalt / Picro-Basalt,Andesite / Basaltic Andesite,Trachyandesite / Basaltic Trachyandesite,Trachyte / Trachydacite, , , , , ,"39,5",Stratovolcano,SUB-SAHARAN AFRICA,Africa and Red Sea,Africa (northeastern) and Red Sea,Rift zone / Intermediate crust (15-25 km),Alid,221040,121320,904,14.88,39.92,4786994,1216179,2447,25942,517
Ecuador,Ecuador,Eruption Dated,-2450,Andesite / Basaltic Andesite,Rhyolite,Dacite, , , , , , , ,"47,8",Stratovolcano,LATIN AMER. & CARIB,South America,Ecuador,Subduction zone / Continental crust (>25 km),Aliso,352031,283560,4267,-0.53,-78,13547510,0,0,0,0
Canada,Canada,Evidence Credible,Unknown,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite, , , , , , , , ,"3,3",Volcanic field,NORTHERN AMERICA,Canada and Western USA,Canada,Intraplate / Continental crust (>25 km),Alligator Lake,320020,9984670,2217,60.42,-135.42,33098932,20636,0,47,0
Guatemala,Guatemala,Eruption Observed,1818,Dacite,Andesite / Basaltic Andesite, , , ,Basalt / Picro-Basalt, , , , ,"112,9",Stratovolcano,LATIN AMER. & CARIB,México and Central America,Guatemala,Subduction zone / Continental crust (>25 km),Almolonga,342040,108890,3173,14.797,-91.519,12293545,6828403,287487,1126942,91323
Russia,Russia,Eruption Dated,1600,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , ,Rhyolite,Dacite, , , ,"8,4",Stratovolcano,C.W. OF IND. STATES,Kamchatka and Mainland Asia,Kamchatka Peninsula,Subduction zone / Continental crust (>25 km),Alney-Chashakondzha,300450,17075200,2570,56.656,159.647,142893540,10679,0,3,0
Ethiopia,Ethiopia,Eruption Observed,2008,Basalt / Picro-Basalt,Andesite / Basaltic Andesite,Trachyte / Trachydacite,Rhyolite, , , , , , ,"66,3",Others,SUB-SAHARAN AFRICA,Africa and Red Sea,Africa (northeastern) and Red Sea,Rift zone / Intermediate crust (15-25 km),Alu-Dalafilla,221060,1127127,578,13.793,40.553,74777981,478054,9,11209,0
Ethiopia,Ethiopia,Eruption Dated,-50,Rhyolite,Dacite,Basalt / Picro-Basalt, , , , , , , ,"66,3",Stratovolcano,SUB-SAHARAN AFRICA,Africa and Red Sea,Africa (northeastern) and Red Sea,Rift zone / Continental crust (>25 km),Alutu,221270,1127127,2335,7.77,38.78,74777981,6813710,25619,314216,6011
United States,United States,Eruption Observed,1796,Andesite / Basaltic Andesite, , , , , , , , , ,"31,0",Stratovolcano,NORTHERN AMERICA,Alaska,Aleutian Islands,Subduction zone / Continental crust (>25 km),Amak,311390,9631420,488,55.424,-163.149,298444215,1345,0,0,0
Indonesia,Indonesia,Evidence Credible,Unknown,Andesite / Basaltic Andesite, , , , , , , , , ,"127,9",Stratovolcano,ASIA (EX. NEAR EAST),Indonesia,Halmahera,Subduction zone / Oceanic crust (< 15 km),Amasing,268072,1919440,1030,-0.53,127.48,245452739,92417,803,26015,59
Vanuatu,Vanuatu,Eruption Observed,2018,Basalt / Picro-Basalt, , , , , , , , , ,"17,1",Shield,OCEANIA,Melanesia and Australia,Vanuatu,Subduction zone / Intermediate crust (15-25 km),Ambae,257030,12200,1496,-15.389,167.835,208869,73308,1279,4326,73
Philippines,Philippines,Unrest / Holocene,Unknown,Dacite,Andesite / Basaltic Andesite, , , , , , , , ,"298,2",Others,ASIA (EX. NEAR EAST),Philippines and SE Asia,Luzon,Subduction zone / Continental crust (>25 km),Ambalatungan Group,273088,300000,2329,17.32,121.1,89468677,4652400,3803,55724,493
Indonesia,Indonesia,Eruption Observed,2005,Andesite / Basaltic Andesite, , , , , , , , , ,"127,9",Complex,ASIA (EX. NEAR EAST),Indonesia,Sulawesi,Subduction zone / Continental crust (>25 km),Ambang,266020,1919440,1795,0.75,124.42,245452739,1730602,46469,319137,9155
Papua New Guinea,Papua New Guinea,Eruption Dated,-350,Phono-tephrite /  Tephri-phonolite,Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite,Basalt / Picro-Basalt,Trachyte / Trachydacite, , , , , ,"12,3",Stratovolcano,OCEANIA,Melanesia and Australia,New Ireland,Subduction zone / Crustal thickness unknown,Ambitle,254020,462840,450,-4.08,153.65,5670544,24367,9195,9779,1643
Madagascar,Madagascar,Evidence Credible,Unknown,Basalt / Picro-Basalt,Rhyolite,Trachyte / Trachydacite,Phonolite,Foidite, , , , , ,"31,7",Volcanic field,SUB-SAHARAN AFRICA,Middle East and Indian Ocean,Indian Ocean (western),Intraplate / Continental crust (>25 km),Ambre-Bobaomby,233011,587040,1475,-12.6,49.15,18595469,408436,20396,51426,20396
Vanuatu,Vanuatu,Eruption Observed,2018,Basalt / Picro-Basalt,Andesite / Basaltic Andesite,Dacite, , , , , , , ,"17,1",Others,OCEANIA,Melanesia and Australia,Vanuatu,Subduction zone / Intermediate crust (15-25 km),Ambrym,257040,12200,1334,-16.25,168.12,208869,63999,186,10826,9
France,France,Evidence Credible,Unknown,Basalt / Picro-Basalt, , , , , , , , , ,"111,3",Stratovolcano,WESTERN EUROPE,Middle East and Indian Ocean,Indian Ocean (southern),Rift zone / Oceanic crust (< 15 km),Amsterdam Island,234001,547030,881,-37.83,77.52,60876136,0,0,0,0
United States,United States,Eruption Observed,1997,Andesite / Basaltic Andesite, , , , , , , , , ,"31,0",Stratovolcano,NORTHERN AMERICA,Alaska,Aleutian Islands,Subduction zone / Intermediate crust (15-25 km),Amukta,311190,9631420,1066,52.5,-171.252,298444215,0,0,0,0
United States,United States,Eruption Observed,2008,Andesite / Basaltic Andesite,Dacite,Basalt / Picro-Basalt,Trachyandesite / Basaltic Trachyandesite, , , , , , ,"31,0",Stratovolcano,NORTHERN AMERICA,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",Subduction zone / Crustal thickness unknown,Anatahan,284200,9631420,790,16.35,145.67,298444215,0,0,0,0
Russia,Russia,Evidence Uncertain,Unknown,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , , , ,"8,4",Stratovolcano,C.W. OF IND. STATES,Kamchatka and Mainland Asia,Kamchatka Peninsula,Subduction zone / Continental crust (>25 km),Anaun,300390,17075200,1828,56.32,158.83,142893540,5933,4,56,2
Peru,Peru,Eruption Dated,1490,Trachyandesite / Basaltic Trachyandesite, , , , ,Trachyte / Trachydacite, , , , ,"22,0",Pyroclastic cone,LATIN AMER. & CARIB,South America,Peru,Subduction zone / Continental crust (>25 km),Andahua-Orcopampa,354004,1285220,4713,-15.42,-72.33,28302603,171897,10317,16541,10317
Vanuatu,Vanuatu,Evidence Uncertain,Unknown,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , , , ,"17,1",Stratovolcano,OCEANIA,Melanesia and Australia,Vanuatu,Subduction zone / Intermediate crust (15-25 km),Aneityum,257110,12200,852,-20.2,169.78,208869,22731,692,703,176
United States,United States,Eruption Observed,1931,Andesite / Basaltic Andesite,Dacite, , , ,Basalt / Picro-Basalt,Trachyte / Trachydacite,Trachyandesite / Basaltic Trachyandesite, , ,"31,0",Caldera,NORTHERN AMERICA,Alaska,Alaska Peninsula,Subduction zone / Continental crust (>25 km),Aniakchak,312090,9631420,1341,56.88,-158.17,298444215,479,0,36,0
Chile,Chile,Eruption Dated,-230,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , , , ,"21,3",Stratovolcano,LATIN AMER. & CARIB,South America,Central Chile and Argentina,Subduction zone / Continental crust (>25 km),Antillanca Volcanic Complex,357153,756950,1979,-40.783,-72.15,16134219,530586,521,5986,87
Ecuador,Ecuador,Eruption Observed,1802,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,"47,8",Stratovolcano,LATIN AMER. & CARIB,South America,Ecuador,Subduction zone / Continental crust (>25 km),Antisana,352030,283560,5753,-0.481,-78.141,13547510,3314142,2220,56154,232
Argentina,Argentina,Evidence Uncertain,Unknown,Andesite / Basaltic Andesite, , , , , , , , , ,"14,4",Pyroclastic cone,LATIN AMER. & CARIB,South America,"Northern Chile, Bolivia and Argentina",Subduction zone / Continental crust (>25 km),Antofagasta Volcanic Field,355180,2766890,3495,-26.12,-67.4,39921833,4295,188,257,188
Chile,Chile,Eruption Observed,1869,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , , , ,"21,3",Stratovolcano,LATIN AMER. & CARIB,South America,Central Chile and Argentina,Subduction zone / Continental crust (>25 km),Antuco,357080,756950,2979,-37.406,-71.349,16134219,381623,474,3872,117
Japan,Japan,Eruption Observed,1785,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , , , ,"337,4",Stratovolcano,ASIA (EX. NEAR EAST),"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",Subduction zone / Oceanic crust (< 15 km),Aogashima,284060,377835,423,32.458,139.759,127463611,8559,232,232,232
Chile,Chile,Eruption Dated,-590,Basalt / Picro-Basalt, , , , , , , , , ,"21,3",Pyroclastic cone,LATIN AMER. & CARIB,South America,Southern Chile and Argentina,Subduction zone / Continental crust (>25 km),Apagado,358024,756950,1210,-41.88,-72.58,16134219,354002,44,4474,5
El Salvador,El Salvador,Evidence Credible,Unknown,Basalt / Picro-Basalt,Andesite / Basaltic Andesite,Trachyandesite / Basaltic Trachyandesite,Dacite,Rhyolite, , , , , ,"324,3",Stratovolcano,LATIN AMER. & CARIB,México and Central America,El Salvador and Honduras,Subduction zone / Continental crust (>25 km),Apaneca Range,343010,21040,2036,13.891,-89.786,6822378,6215853,151502,1113282,11141
El Salvador,El Salvador,Evidence Credible,Unknown,Dacite,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , , , , , ,"324,3",Volcanic field,LATIN AMER. & CARIB,México and Central America,El Salvador and Honduras,Subduction zone / Continental crust (>25 km),Apastepeque Field,343071,21040,700,13.72,-88.77,6822378,6372608,377730,687849,377730
Philippines,Philippines,Unrest / Holocene,Unknown,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,"298,2",Stratovolcano,ASIA (EX. NEAR EAST),Philippines and SE Asia,Mindanao,Subduction zone / Continental crust (>25 km),Apo,271030,300000,2938,6.989,125.269,89468677,7768291,5431,767800,1355
Nicaragua,Nicaragua,Eruption Dated,-50,Dacite,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , , , , , ,"43,0",Others,LATIN AMER. & CARIB,México and Central America,Nicaragua,Subduction zone / Continental crust (>25 km),Apoyeque,344091,129494,518,12.242,-86.342,5570129,3445854,116718,1342581,2369
Argentina,Argentina,Evidence Credible,Unknown,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,"14,4",Stratovolcano,LATIN AMER. & CARIB,South America,"Northern Chile, Bolivia and Argentina",Subduction zone / Continental crust (>25 km),Aracar,355160,2766890,6095,-24.29,-67.783,39921833,4803,0,94,0
Armenia,Armenia,Evidence Credible,Unknown,Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Dacite,Rhyolite, , , , , , ,"99,9",Stratovolcano,C.W. OF IND. STATES,Mediterranean and Western Asia,Western Asia,Intraplate / Continental crust (>25 km),Aragats,214060,29800,4095,40.53,44.2,2976372,3046562,163,150143,0
Turkey,Turkey,Eruption Observed,1840,Andesite / Basaltic Andesite,Dacite,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite,Rhyolite, , , , , ,"90,2",Stratovolcano,NEAR EAST,Mediterranean and Western Asia,Turkey,Intraplate / Continental crust (>25 km),Ararat,213040,780580,5165,39.7,44.3,70413958,2811646,1239,135563,25
Philippines,Philippines,Evidence Uncertain,Unknown,Basalt / Picro-Basalt,Trachyandesite / Basaltic Trachyandesite, , , ,Trachybasalt / Tephrite Basanite,Andesite / Basaltic Andesite, , , ,"298,2",Stratovolcano,ASIA (EX. NEAR EAST),Philippines and SE Asia,Luzon,Subduction zone / Continental crust (>25 km),Arayat,273084,300000,1026,15.2,120.742,89468677,27216491,190674,2805269,7846
Djibouti,Djibouti,Eruption Observed,1978,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite,Rhyolite, , , , , , , ,"21,2",Others,SUB-SAHARAN AFRICA,Africa and Red Sea,Africa (northeastern) and Red Sea,Rift zone / Intermediate crust (15-25 km),Ardoukoba,221126,23000,298,11.58,42.47,486530,560146,2895,6898,2895
Costa Rica,Costa Rica,Eruption Observed,2010,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , ,Dacite, , , , ,"79,8",Stratovolcano,LATIN AMER. & CARIB,México and Central America,Costa Rica,Subduction zone / Continental crust (>25 km),Arenal,345033,51100,1670,10.463,-84.703,4075261,3027485,15643,96512,3429
Yemen,Yemen,Eruption Observed,500,Trachybasalt / Tephrite Basanite,Basalt / Picro-Basalt, , , ,Trachyandesite / Basaltic Trachyandesite, , , , ,"40,6",Volcanic field,NEAR EAST,Middle East and Indian Ocean,Middle East (southern),Intraplate / Continental crust (>25 km),"Arhab, Harra of",231090,527970,3100,15.63,44.08,21456188,6517834,284443,820695,284443
Indonesia,Indonesia,Eruption Observed,1952,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , , , , , , ,"127,9",Stratovolcano,ASIA (EX. NEAR EAST),Indonesia,Java,Subduction zone / Continental crust (>25 km),Arjuno-Welirang,263290,1919440,3339,-7.733,112.575,245452739,25385433,53983,4143137,2584
China,China,Eruption Dated,0,Basalt / Picro-Basalt, , , , , , , , , ,"136,9",Pyroclastic cone,ASIA (EX. NEAR EAST),Kamchatka and Mainland Asia,China (eastern),Intraplate / Continental crust (>25 km),Arxan-Chaihe,305011,9596960,1677,47.45,120.8,1313973713,188163,6435,6435,6435
Russia,Russia,Evidence Credible,Unknown,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , ,Dacite,Rhyolite, , , ,"8,4",Complex,C.W. OF IND. STATES,Kamchatka and Mainland Asia,Kamchatka Peninsula,Subduction zone / Continental crust (>25 km),Asacha,300058,17075200,1910,52.355,157.827,142893540,238467,0,34,0
Japan,Japan,Eruption Observed,2019,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,"337,4",Complex,ASIA (EX. NEAR EAST),"Japan, Taiwan, Marianas",Honshu,Subduction zone / Continental crust (>25 km),Asamayama,283110,377835,2568,36.406,138.523,127463611,7629353,22371,457576,583
United Kingdom,United Kingdom,Eruption Dated,1508,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite,Trachyte / Trachydacite,Rhyolite, , , , , ,"247,6",Stratovolcano,WESTERN EUROPE,Atlantic Ocean,Atlantic Ocean (central),Rift zone / Oceanic crust (< 15 km),Ascension,385050,244820,858,-7.95,-14.37,60609153,1149,1149,1149,614
Iceland,Iceland,Eruption Observed,1961,Basalt / Picro-Basalt, , , , ,Rhyolite, , , , ,"2,9",Stratovolcano,WESTERN EUROPE,Iceland and Arctic Ocean,Iceland (northeastern),Rift zone / Oceanic crust (< 15 km),Askja,373060,103000,1080,65.033,-16.783,299388,13028,0,0,0
